Model,Macro F1,Accuracy,F1 CLEAN,F1 OFFENSIVE,F1 HATE
LinearSVM,0.6172272511025176,0.8579683698296837,0.9295723713949914,0.3922077922077922,0.5299015897047691
LinearSVM_Tuned(H:0.35_O:0.35),0.6090013187138249,0.8610097323600974,0.9300699300699301,0.3597122302158273,0.5372217958557176
LinearSVM_Tuned(H:0.4_O:0.4),0.6036701765667659,0.8599452554744526,0.9296001431255032,0.3583815028901734,0.5230288836846214
LinearSVM_Tuned(H:0.3_O:0.35),0.602900516152966,0.8585766423357665,0.9291296146591216,0.3469387755102041,0.5326331582895724
LinearSVM_Tuned(H:0.25_O:0.3),0.6027910587953883,0.8559914841849149,0.9279336159466042,0.3485714285714286,0.5318681318681319
LogisticRegression,0.6004880840015213,0.79911800486618,0.8904189294026377,0.39335664335664333,0.5176886792452831
LogisticRegression_Tuned(H:0.4_O:0.4),0.5904891457401441,0.7899939172749392,0.8836982017200938,0.3615720524017467,0.5261971830985915
LightGBM,0.5823398700804537,0.7933394160583942,0.8856840688395347,0.3466204506065858,0.514715090795241
XGBoost_Tuned(H:0.25_O:0.3),0.5730323668721556,0.8527980535279805,0.9245585874799358,0.2934232715008432,0.5011152416356878
LightGBM_Tuned(H:0.4_O:0.4),0.5710420494209396,0.7758515815085159,0.8725959191643073,0.3284072249589491,0.5121230041395624
MultinomialNB_Tuned(H:0.25_O:0.3),0.5660826115386349,0.8146289537712895,0.9007052709725315,0.33197278911564626,0.465569774527727
MultinomialNB_Tuned(H:0.3_O:0.35),0.5645189114651102,0.819647201946472,0.9034692187356216,0.3263009845288326,0.46378653113087676
MultinomialNB_Tuned(H:0.35_O:0.35),0.5634761509297554,0.8222323600973236,0.9050493962678375,0.33101529902642557,0.45436375749500335
LogisticRegression_Tuned(H:0.35_O:0.35),0.5632455098501884,0.7531934306569343,0.8576041982036532,0.3346550356859635,0.49747729566094856
XGBoost_Tuned(H:0.3_O:0.35),0.5622940063736177,0.8552311435523114,0.9250308696419122,0.274442538593482,0.487408610885459
XGBoost_Tuned(H:0.35_O:0.35),0.5618207671930235,0.8575121654501217,0.9256212810640532,0.2953020134228188,0.4645390070921986
LightGBM_Tuned(H:0.35_O:0.35),0.5570314744020667,0.7493917274939172,0.8529559369667771,0.30873493975903615,0.5094035464803869
MultinomialNB_Tuned(H:0.4_O:0.4),0.5570190049119729,0.8252737226277372,0.9073401162790697,0.31896551724137934,0.4447513812154696
MultinomialNB,0.5544822200789603,0.8322688564476886,0.9123154483255311,0.31203566121842496,0.4390955506929249
XGBoost_Tuned(H:0.4_O:0.4),0.5489813753237123,0.8585766423357665,0.9258969681174529,0.27241379310344827,0.44863336475023563
LogisticRegression_Tuned(H:0.3_O:0.35),0.5471345582243289,0.7331204379562044,0.8422567053745761,0.32274247491638797,0.4764044943820225
LightGBM_Tuned(H:0.3_O:0.35),0.5445887705317852,0.7335766423357665,0.8411824668705402,0.3020914020139427,0.4904924427108727
XGBoost,0.5370105848113033,0.8582725060827251,0.925964366026639,0.25874125874125875,0.4263261296660118
CatBoost,0.5289473384540913,0.722323600973236,0.8352116966189461,0.3253012048192771,0.42632911392405065
CatBoost_Tuned(H:0.4_O:0.4),0.5216223053709627,0.7188260340632603,0.8321862348178137,0.3032069970845481,0.42947368421052634
LogisticRegression_Tuned(H:0.25_O:0.3),0.513166554461701,0.6852189781021898,0.8032962328767124,0.28482003129890454,0.45138339920948617
LightGBM_Tuned(H:0.25_O:0.3),0.5103371816353824,0.6849148418491484,0.8025896837189557,0.26827537260468415,0.46014648858250756
CatBoost_Tuned(H:0.35_O:0.35),0.4774743769467125,0.6341240875912408,0.7610619469026548,0.2623318385650224,0.4090293453724605
CatBoost_Tuned(H:0.3_O:0.35),0.45361195847211383,0.5986922141119222,0.7282584142760334,0.24422050978067575,0.38835695135963233
CatBoost_Tuned(H:0.25_O:0.3),0.37394447383888235,0.45909367396593675,0.5755007704160247,0.1900749063670412,0.3562577447335812
